name,country,gross,runtime,rating,released,year,month,y2,T_year,adj_gross,school
Requiem for a Dream,USA,3609278,102,R,12/15/2000,2000,12,2000,TRUE,5030499.332,Break
Gladiator,USA,187705427,155,R,5/5/2000,2000,5,2000,TRUE,261617981.5,Break
American Psycho,USA,15070285,102,R,4/14/2000,2000,4,2000,TRUE,21004494.15,Session
The Patriot,USA,113330342,165,R,6/28/2000,2000,6,2000,TRUE,157956303.1,Break
Remember the Titans,USA,115654751,113,PG,9/29/2000,2000,9,2000,TRUE,161195992,Session
Unbreakable,USA,95011339,106,PG-13,11/22/2000,2000,11,2000,TRUE,132423846.9,Session
Almost Famous,USA,32534850,122,R,9/22/2000,2000,9,2000,TRUE,45346061.23,Session
Cast Away,USA,233632142,143,PG-13,12/22/2000,2000,12,2000,TRUE,325629207.3,Break
X-Men,USA,157299717,104,PG-13,7/14/2000,2000,7,2000,TRUE,219239449.3,Break
Hollow Man,USA,73209340,112,R,8/4/2000,2000,8,2000,TRUE,102036899.3,Break
Scary Movie,USA,157019771,88,R,7/7/2000,2000,7,2000,TRUE,218849269.3,Break
The Beach,USA,39785027,119,R,2/11/2000,2000,2,2000,TRUE,55451132.26,Session
What Lies Beneath,USA,155464351,130,PG-13,7/21/2000,2000,7,2000,TRUE,216681373.3,Break
Final Destination,USA,53331147,98,R,3/17/2000,2000,3,2000,TRUE,74331292.67,Session
Charlie's Angels,USA,125305545,98,PG-13,11/3/2000,2000,11,2000,TRUE,174646968.3,Session
Road Trip,USA,68540777,93,R,5/19/2000,2000,5,2000,TRUE,95530001.54,Break
Gone in Sixty Seconds,USA,101648571,118,PG-13,6/9/2000,2000,6,2000,TRUE,141674614.3,Break
The Cell,USA,61334059,107,R,8/18/2000,2000,8,2000,TRUE,85485502.31,Break
How the Grinch Stole Christmas,USA,260044825,104,PG,11/17/2000,2000,11,2000,TRUE,362442382.8,Session
Mission to Mars,USA,60883407,114,PG,3/10/2000,2000,3,2000,TRUE,84857397.58,Session
Mission: Impossible II,USA,215409889,123,PG-13,5/24/2000,2000,5,2000,TRUE,300231598.3,Break
Bring It On,USA,68379000,98,PG-13,8/25/2000,2000,8,2000,TRUE,95304521.79,Break
Erin Brockovich,USA,125595205,131,R,3/17/2000,2000,3,2000,TRUE,175050687.4,Session
Miss Congeniality,USA,106807667,109,PG-13,12/22/2000,2000,12,2000,TRUE,148865201.7,Break
What Women Want,USA,182811707,127,PG-13,12/15/2000,2000,12,2000,TRUE,254797266.9,Break
Little Nicky,USA,39464775,90,PG-13,11/10/2000,2000,11,2000,TRUE,55004774.99,Session
Coyote Ugly,USA,60786269,100,PG-13,8/4/2000,2000,8,2000,TRUE,84722009.66,Break
The Emperor's New Groove,USA,89302687,78,G,12/15/2000,2000,12,2000,TRUE,124467305.5,Break
Battlefield Earth,USA,21471685,118,PG-13,5/12/2000,2000,5,2000,TRUE,29926566.21,Break
The Road to El Dorado,USA,50863742,89,PG,3/31/2000,2000,3,2000,TRUE,70892300.38,Session
Pitch Black,USA,39240659,109,R,2/18/2000,2000,2,2000,TRUE,54692409.09,Session
The Replacements,USA,44737059,118,PG-13,8/11/2000,2000,8,2000,TRUE,62353120.32,Break
"Me, Myself & Irene",USA,90570999,116,R,6/23/2000,2000,6,2000,TRUE,126235039.2,Break
Bootmen,USA,21172,100,R,10/5/2000,2000,10,2000,TRUE,29508.87459,Session
